SN,Lat1,Long1,Lat2,Long2,
174,,,26.649993,82.134164,
175,,,26.5692159,81.9533554,
176,,,26.5547684,82.0182442,
177,,,26.5322439,82.135458,
178,,,26.760269,81.752013,
179,,,26.7946124,81.6128224,
180,,,26.589711,81.768807,
181,,,26.7820696,82.1716772,
182,,,26.6980468,82.2735183,
183,,,26.6463613,82.3276945,
184,,,26.4814136,82.2323622,
185,,,26.5505504,82.239543,
186,,,26.6061758,82.3785954,
187,,,26.771749,82.141216,
188,,,26.7554067,81.9827636,
189,,,26.5965427,82.1310381,
190,,,26.7952827,81.7446946,
191,,,26.777598,81.8051975,
192,,,26.6267917,81.9386436,
193,,,26.6815266,82.1948768,
194,,,26.1749997,82.7265624,
195,,,26.2938622,82.9644103,
196,,,26.2712813,83.003275,
197,,,26.2486877,82.7389944,
198,,,26.189946,82.892639,
199,,,26.207453,82.915231,
200,,,26.246458,82.967165,
201,,,26.3777486,82.9183506,
202,,,26.1275967,82.9934201,
203,,,26.0673534,82.9545005,
204,,,26.0241818,82.7560083,
205,,,25.99971,82.7921051,
206,,,25.9371984,82.8744733,
207,,,25.886138,82.952831,
208,,,25.9224436,82.976606,
209,,,26.0084247,82.9775841,
210,,,26.31074,83.1850418,
211,,,26.2285983,83.2157718,
212,,,26.1834669,83.3004288,
213,,,26.1542233,83.3661108,
214,,,26.1307935,83.1587923,
215,,,26.224526,83.380641,
216,,,26.2648519,83.3976333,
217,,,26.0809631,83.2866059,
218,,,26.0029862,83.1086552,
219,,,25.9392824,83.1325524,
220,,,25.8458693,83.0714996,
221,,,25.754599,83.1909635,
222,,,25.674699,83.126608,
223,,,25.75155,83.1341584,
224,,,25.77494,83.0266718,
225,,,25.8380134,83.0186869,
226,,,25.9003469,83.0160477,
227,,,26.1831309,82.7877577,
228,,,26.118527,83.08354,
229,,,26.0244691,83.0676053,
230,,,25.963843,82.837243,
231,,,25.7752567,82.824915,
232,,,25.8505547,83.2223248,
233,,,25.9391107,83.2655127,
234,,,25.97298,83.291282,
235,,,26.0839209,83.2701694,
236,,,26.052457,83.2019,
237,,,26.282058,83.278252,
238,,,26.18854,83.265541,
239,,,26.038585,83.150862,
240,,,25.7844587,83.087973,
241,,,26.0392263,83.0457727,
242,,,26.0899503,82.8590301,
243,,,25.9066661,82.804421,
244,,,25.8902264,83.089309,
245,,,26.3463112,82.9211815,
246,,,25.7973025,82.9936241,
247,,,26.1464627,83.3119466,
248,,,26.3404761,83.1203881,
249,,,26.0922867,83.1072318,
250,,,25.96375,83.262062,
251,,,29.093039,77.3968217,
252,,,29.1173393,77.3423382,
253,,,29.1066355,77.2617504,
254,,,29.2081535,77.1759328,
255,,,29.206209,77.211225,
256,,,28.8697111,77.2855953,
257,,,28.9105963,77.4181219,
258,,,28.9685259,77.4063547,
